key,estimated_views
en.wikipedia/Main_Page,8878863
en.wikipedia/Stresser,4648897
de.wikipedia/Wikipedia:Hauptseite,1748230
en.wikipedia/Wikipedia:Contact_us,136201
en.wikipedia/Wikipedia:About,135739
en.wikipedia/Help:Introduction,117438
en.wikipedia/Portal:Current_events,117177
en.wikipedia/Wikipedia:Contents,117173
en.wikipedia/Help:Contents,115291
en.wikipedia/Special:RecentChanges,113892
de.wikipedia/Hauptseite,108983
en.wikipedia/Category:Jack_Kemp,106985
en.wikipedia/Wikipedia:Community_portal,105771
en.wikipedia/Wikipedia:File_upload_wizard,105412
en.wikipedia/Wikipedia:General_disclaimer,103880
en.wikipedia/Wikipedia:About_Today's_featured_article,102363
en.wikipedia/Wikipedia:Selected_anniversaries,102229
en.wikipedia/World_War_II,95267
en.wikipedia/Fujita_scale,79638
cs.wikipedia/Wikipedie:Pod_l%C3%ADpou,74942
commons.wikimedia/Main_Page,68006
en.wikipedia/Corpo_della_Nobiltà_Italiana,57363
en.wikipedia/Galgano_Guidotti,50136
de.wikipedia/Spezial:Suche,46555
en.wikipedia/Bottleneck_(production),41772
en.wikipedia/Special:Search,39268
de.wikipedia/Liste_musikalischer_Vortragsbezeichnungen,38616
en.wikipedia/Rachel_Lambert_Mellon,38536
en.wikipedia/Tami_Erin,36546
en.wikipedia/Wilhelm_Stuckart,35245
en.wikipedia/Inverted_bow,30696
en.wikipedia/Rub_el_Hizb,29055
de.wikipedia/Ext4,28294
de.wikipedia/Läufer,27563
en.wikipedia/Zither,26838
en.wikipedia/New_Year's_Day,24550
en.wikipedia/Counts_of_Wartenberg,23338
commons.wikimedia/File:Shawn_Mendes_-_It'll_Be_Okay_cover.jpg,23138
en.wikipedia/Levi_Bellfield,22787
da.wikipedia/Forside,21077
en.wikinews/Main_Page,20651
en.wikipedia/Four_Times_of_the_Day,19533
de.wikipedia/Journaling-Dateisystem,19204
en.wikipedia/Star,18972
cs.wikipedia/Port%C3%A1l:Aktuality/vlastn%C3%AD_text,18834
en.wikipedia/H._W._Brands,18604
en.wikipedia/List_of_abbreviations_in_oil_and_gas_exploration_and_production,18015
