key,estimated_views
en.wikipedia/Main_Page,8836608
en.wikipedia/Stresser,4648448
de.wikipedia/Wikipedia:Hauptseite,1718784
en.wikipedia/Wikipedia:Contact_us,139776
en.wikipedia/Help:Introduction,126464
en.wikipedia/Wikipedia:Contents,125952
de.wikipedia/Hauptseite,123392
en.wikipedia/Wikipedia:About,122368
en.wikipedia/Wikipedia:Community_portal,117760
en.wikipedia/Portal:Current_events,116736
en.wikipedia/Help:Contents,113664
en.wikipedia/Special:RecentChanges,110592
en.wikipedia/Wikipedia:General_disclaimer,110080
en.wikipedia/Wikipedia:File_upload_wizard,109056
en.wikipedia/Category:Jack_Kemp,105984
en.wikipedia/Wikipedia:About_Today's_featured_article,94720
en.wikipedia/Wikipedia:Selected_anniversaries,86016
en.wikipedia/World_War_II,84992
en.wikipedia/Fujita_scale,79360
cs.wikipedia/Wikipedie:Pod_l%C3%ADpou,75264
commons.wikimedia/Main_Page,65536
en.wikipedia/Galgano_Guidotti,56320
en.wikipedia/Corpo_della_Nobiltà_Italiana,51712
de.wikipedia/Spezial:Suche,49152
en.wikipedia/Rachel_Lambert_Mellon,47104
en.wikipedia/Wilhelm_Stuckart,42496
en.wikipedia/Tami_Erin,38400
en.wikipedia/Special:Search,35328
de.wikipedia/Liste_musikalischer_Vortragsbezeichnungen,33792
de.wikipedia/Ext4,31232
en.wikipedia/Bottleneck_(production),30208
en.wikipedia/Inverted_bow,28672
de.wikipedia/Läufer,28160
commons.wikimedia/File:Shawn_Mendes_-_It'll_Be_Okay_cover.jpg,23552
en.wikipedia/New_Year's_Day,23552
en.wikipedia/Rub_el_Hizb,23040
da.wikipedia/Forside,23040
en.wikipedia/H._W._Brands,21504
en.wikipedia/Zither,20992
en.wikipedia/Site,20480
en.wikipedia/Counts_of_Wartenberg,19968
en.wikipedia/Levi_Bellfield,19456
en.wikipedia/Four_Times_of_the_Day,18432
en.wikipedia/List_of_accidents_and_incidents_involving_commercial_aircraft,17920
en.wikipedia/Donald_Trump,17408
en.wikipedia/Wikipedia,16896
en.wikipedia/Deaths_in_2024,16896
en.wikipedia/Black_hole,16896
en.wikinews/Main_Page,16384
en.wikipedia/Star,15872
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches_(2020–2022),15872
en.wikipedia/List_of_abbreviations_in_oil_and_gas_exploration_and_production,14848
de.wikipedia/Journaling-Dateisystem,14336
en.wikipedia/Diamond_(gemstone),14336
en.wikipedia/Wikipedia_talk:Why_was_the_page_I_created_deleted?,14336
en.wikipedia/George_Chorpenning,13824
de.wikipedia/Der_Nachsommer,13824
cs.wikipedia/Port%C3%A1l:Aktuality/vlastn%C3%AD_text,13824
en.wikipedia/Duke_of_Gloucester,13312
en.wikipedia/Joe_Biden,13312
en.wikipedia/Ann_Pettifor,13312
en.wikipedia/Sea_Peoples,12800
en.wikipedia/Spendthrift_trust,12288
en.wikipedia/Characters_of_the_Marvel_Cinematic_Universe:_A–L,12288
en.wikipedia/Bill_Clinton,11776
el.wikipedia/Πύλη:Κύρια,11776
dsb.wikipedia/Main_Page,11776
"en.wikipedia/Lambert,_Hendricks_&_Ross",11776
en.wikipedia/Lilith,11776
en.wikipedia/Apple_Network_Server,11776
en.wikipedia/Depraved-heart_murder,11264
en.wikipedia/Troy,11264
en.wikipedia/Barack_Obama,11264
en.wikipedia/P._D._James,11264
en.wikipedia/Community_Hospital_North,11264
de.wikipedia/Special:MyPage/toolserverhelferleinconfig.js,10752
de.wikipedia/Main_Page,10752
en.wikipedia/Darth_Vader,10752
en.wikipedia/Mauritius,10240
ar.wikipedia/الأردن,10240
en.wikipedia/Utsuro-bune,10240
en.wikipedia/Indian_palm_squirrel,10240
"en.wikipedia/I,_Robot_(film)",10240
en.wikipedia/Alternative_media_(U.S._political_right),10240
cs.wikipedia/Hlavní_strana,10240
de.wikipedia/Gedenkmünzen_der_Bundesrepublik_Deutschland,9216
en.wikipedia/George_W._Bush,9216
en.wikipedia/List_of_woodwind_instruments,9216
en.wikipedia/Aptoide,9216
de.wikipedia/Ext3,9216
en.wikipedia/United_States_Senate,8704
en.wikipedia/Archibald_Cox,8704
en.wikipedia/Stackdriver,8704
commons.wikimedia/Special:Search,8192
en.wikipedia/Kevin_Bacon,8192
en.wikipedia/Google,8192
en.wikipedia/List_of_presidents_of_the_United_States,8192
en.wikipedia/Phenazepam,8192
en.wikipedia/Charbel_Makhluf,7680
en.wikipedia/Wiki,7680
en.wikipedia/Help:Category,7680
en.wikipedia/Raindrop_cake,7680
en.wikipedia/ISBN_(identifier),7680
en.wikipedia/Sergey_Lavrov,7680
en.wikipedia/Always_a_Witch,7680
en.wikipedia/Copernican_heliocentrism,7680
en.wikipedia/Squid_Game_season_2,7680
de.wikipedia/Identitätskarte_(Schweiz),7680
en.wikipedia/List_of_the_United_States_National_Park_System_official_units,7680
en.wikipedia/Negative_number,7168
en.wikipedia/Death_mask,7168
en.wikipedia/Almojábana,7168
en.wikipedia/Keychain,7168
en.wikipedia/2024_United_States_Senate_elections,7168
de.wikipedia/Erster_Koalitionskrieg,7168
en.wikipedia/Encyclopedia,7168
en.wikipedia/GE_Capital_Rail_Services,7168
en.wikipedia/Expansion_of_the_universe,7168
en.wikipedia/Biggest_ball_of_twine,7168
en.wikipedia/Two-port_network,7168
en.wikipedia/Garden_of_the_Gods,7168
en.wikipedia/Awards_and_decorations_of_the_British_Armed_Forces,7168
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches_(2010–2019),7168
en.wikipedia/Lastovo,6656
en.wikipedia/Achelousaurus,6656
de.wikipedia/Topinambur,6656
en.wikipedia/Philippines,6656
en.wikipedia/Louis_Prima,6144
en.wikipedia/Synanon,6144
en.wikipedia/Essiac,6144
de.wikipedia/Byte,6144
en.wikipedia/Neurodiversity,6144
en.wikipedia/Greek_alphabet,6144
"en.wikipedia/Washington,_D.C.",6144
de.wikipedia/Liste_von_Dateisystemen,6144
de.wikipedia/Fragmentierung_(Dateisystem),6144
de.wikipedia/FAT32,6144
en.wikipedia/List_of_prime_numbers,6144
en.wikipedia/Mythology_of_The_X-Files,6144
en.wikipedia/India,6144
de.wikipedia/Logical_Volume_Manager,6144
en.wikipedia/Category:Articles_with_disputed_statements_from_January_2011,6144
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches,6144
de.wikipedia/HFS_Plus,6144
de.wikipedia/Transaktion_(Informatik),6144
en.wikipedia/Adenosine_monophosphate_deaminase_deficiency_type_1,6144
de.wikipedia/Filesystem_in_Userspace,5632
en.wikipedia/Foo,5632
en.wikipedia/Slavery_among_Native_Americans_in_the_United_States,5632
en.wikipedia/Category:Articles_with_disputed_statements,5632
en.wikipedia/Rogier_van_der_Weyden,5632
en.wikipedia/The_Beatles'_recording_sessions,5632
de.wikipedia/Wikipedia:Informative_Listen_und_Portale,5632
de.wikipedia/File_Allocation_Table,5632
en.wikipedia/Interpreting_contracts_in_English_law,5632
de.wikipedia/Konsistenz_(Datenspeicherung),5632
en.wikipedia/Java_(programming_language),5632
cs.wikipedia/Moravěves,5632
en.wikipedia/English_Wikipedia,5632
en.wikipedia/Ten_stages_of_genocide,5632
en.wikipedia/Brian_Greene,5632
"en.wikipedia/Christopher_Monckton,_3rd_Viscount_Monckton_of_Brenchley",5632
en.wikipedia/HI,5120
en.wikipedia/Facebook,5120
en.wikipedia/YouTube,5120
en.wikipedia/Help:Maintenance_template_removal,5120
de.wikipedia/Apple_II,5120
en.wikipedia/Franklin_half_dollar,5120
en.wikipedia/Romania,5120
en.wikipedia/Missionaries_of_Charity,5120
en.wikipedia/Glossary_of_music_terminology,5120
en.wikipedia/Rene_Russo,5120
en.wikipedia/Belarus,5120
de.wikipedia/Harry_Potter_(Filmreihe),5120
en.wikipedia/Carol_Lynley,4608
en.wikipedia/Indonesia,4608
en.wikipedia/Denial-of-service_attack,4608
en.wikipedia/List_of_Mad_episodes,4608
en.wikipedia/Dentist,4608
en.wikipedia/Toshiko_Mori,4608
en.wikipedia/Category:Articles_with_disputed_statements_from_June_2019,4608
en.wikipedia/Greece,4608
de.wikipedia/Hanns_Hatt,4608
en.wikipedia/User:The_Anomebot2,4608
en.wikipedia/World_War_I,4608
"en.wikipedia/\"\\\"Hello,_World!\\\"_program\"",4608
en.wikipedia/Bar,4608
de.wikipedia/Verzeichnisstruktur,4608
en.wikipedia/Celsus,4608
de.wikipedia/Patch_(Software),4608
de.wikipedia/Btrfs,4608
en.wikipedia/New_York_City,4608
