key,estimated_views
en.wikipedia/Main_Page,8878863
en.wikipedia/Stresser,4648904
de.wikipedia/Wikipedia:Hauptseite,1748238
en.wikipedia/Wikipedia:Contact_us,136229
en.wikipedia/Wikipedia:About,135728
en.wikipedia/Help:Introduction,117446
en.wikipedia/Portal:Current_events,117181
en.wikipedia/Wikipedia:Contents,117176
en.wikipedia/Help:Contents,115278
en.wikipedia/Special:RecentChanges,113934
de.wikipedia/Hauptseite,108976
en.wikipedia/Category:Jack_Kemp,107008
en.wikipedia/Wikipedia:Community_portal,105794
en.wikipedia/Wikipedia:File_upload_wizard,105411
en.wikipedia/Wikipedia:General_disclaimer,103883
en.wikipedia/Wikipedia:About_Today's_featured_article,102355
en.wikipedia/Wikipedia:Selected_anniversaries,102202
en.wikipedia/World_War_II,95290
en.wikipedia/Fujita_scale,79649
cs.wikipedia/Wikipedie:Pod_l%C3%ADpou,74924
commons.wikimedia/Main_Page,68042
en.wikipedia/Corpo_della_Nobiltà_Italiana,57373
en.wikipedia/Galgano_Guidotti,50137
de.wikipedia/Spezial:Suche,46529
en.wikipedia/Bottleneck_(production),41781
en.wikipedia/Special:Search,39260
de.wikipedia/Liste_musikalischer_Vortragsbezeichnungen,38598
en.wikipedia/Rachel_Lambert_Mellon,38572
en.wikipedia/Tami_Erin,36534
en.wikipedia/Wilhelm_Stuckart,35248
en.wikipedia/Inverted_bow,30732
en.wikipedia/Rub_el_Hizb,29058
de.wikipedia/Ext4,28312
de.wikipedia/Läufer,27572
en.wikipedia/Zither,26841
en.wikipedia/New_Year's_Day,24567
en.wikipedia/Counts_of_Wartenberg,23361
commons.wikimedia/File:Shawn_Mendes_-_It'll_Be_Okay_cover.jpg,23157
en.wikipedia/Levi_Bellfield,22791
da.wikipedia/Forside,21079
en.wikinews/Main_Page,20657
en.wikipedia/Four_Times_of_the_Day,19498
de.wikipedia/Journaling-Dateisystem,19193
en.wikipedia/Star,18994
cs.wikipedia/Port%C3%A1l:Aktuality/vlastn%C3%AD_text,18833
en.wikipedia/H._W._Brands,18578
en.wikipedia/List_of_abbreviations_in_oil_and_gas_exploration_and_production,18008
en.wikipedia/Deaths_in_2024,17218
en.wikipedia/Site,16772
en.wikipedia/List_of_accidents_and_incidents_involving_commercial_aircraft,16278
en.wikipedia/Donald_Trump,16172
"en.wikipedia/Lambert,_Hendricks_&_Ross",15625
en.wikipedia/Joe_Biden,15360
en.wikipedia/Duke_of_Gloucester,14724
en.wikipedia/Characters_of_the_Marvel_Cinematic_Universe:_A–L,13960
en.wikipedia/George_Chorpenning,13772
de.wikipedia/Der_Nachsommer,13627
en.wikipedia/Apple_Network_Server,13338
en.wikipedia/Wikipedia_talk:Why_was_the_page_I_created_deleted?,13213
dsb.wikipedia/Main_Page,12976
de.wikipedia/Main_Page,12967
en.wikipedia/Wikipedia,12498
en.wikipedia/Darth_Vader,12315
en.wikipedia/Spendthrift_trust,12204
en.wikipedia/Community_Hospital_North,11984
de.wikipedia/Special:MyPage/toolserverhelferleinconfig.js,11954
en.wikipedia/Alternative_media_(U.S._political_right),11913
en.wikipedia/Ann_Pettifor,11566
ar.wikipedia/الأردن,11434
en.wikipedia/ISBN_(identifier),11361
en.wikipedia/Troy,11346
en.wikipedia/Black_hole,11330
en.wikipedia/Sea_Peoples,11311
de.wikipedia/Byte,11149
en.wikipedia/Always_a_Witch,11090
en.wikipedia/Diamond_(gemstone),11054
el.wikipedia/Πύλη:Κύρια,11043
de.wikipedia/Ext3,11024
commons.wikimedia/Special:Search,10951
en.wikipedia/P._D._James,10752
en.wikipedia/Barack_Obama,10279
en.wikipedia/Raindrop_cake,10067
en.wikipedia/List_of_presidents_of_the_United_States,9879
en.wikipedia/George_W._Bush,9654
en.wikipedia/Lilith,9597
en.wikipedia/Louis_Prima,9554
en.wikipedia/Biggest_ball_of_twine,9514
en.wikipedia/Bill_Clinton,9250
en.wikipedia/Mauritius,9217
en.wikipedia/Archibald_Cox,8734
de.wikipedia/Gedenkmünzen_der_Bundesrepublik_Deutschland,8689
en.wikipedia/Negative_number,8686
en.wikipedia/Aptoide,8395
"en.wikipedia/I,_Robot_(film)",8360
de.wikipedia/Erster_Koalitionskrieg,8309
en.wikipedia/Keychain,8229
en.wikipedia/GE_Capital_Rail_Services,8170
en.wikipedia/Depraved-heart_murder,8164
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches,8100
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches_(2020–2022),8031
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches_(2010–2019),7992
en.wikipedia/Almojábana,7732
en.wikipedia/Essiac,7507
en.wikipedia/Stackdriver,7401
en.wikipedia/Utsuro-bune,7340
en.wikipedia/Kevin_Bacon,7238
en.wikipedia/Achelousaurus,7077
en.wikipedia/List_of_the_United_States_National_Park_System_official_units,7014
en.wikipedia/Glossary_of_music_terminology,6960
en.wikipedia/English_Wikipedia,6913
en.wikipedia/Brooklyn,6892
en.wikipedia/Google,6890
cs.wikipedia/Moravěves,6649
en.wikipedia/Indian_palm_squirrel,6542
en.wikipedia/Copernican_heliocentrism,6479
en.wikipedia/Squid_Game_season_2,6467
en.wikipedia/Charbel_Makhluf,6339
en.wikipedia/List_of_woodwind_instruments,6272
en.wikipedia/Garden_of_the_Gods,6244
en.wikipedia/United_States_Senate,6201
en.wikipedia/India,6149
en.wikipedia/Brian_Greene,6028
"en.wikipedia/\"\\\"Hello,_World!\\\"_program\"",5964
en.wikipedia/Greek_alphabet,5945
en.wikipedia/Bar,5919
en.wikipedia/The_Beatles'_recording_sessions,5839
en.wikipedia/Carol_Lynley,5811
en.wikipedia/Foo,5800
en.wikipedia/Death_mask,5795
de.wikipedia/Transaktion_(Informatik),5782
cs.wikipedia/Hlavní_strana,5709
en.wikipedia/Java_(programming_language),5708
de.wikipedia/Fragmentierung_(Dateisystem),5633
de.wikipedia/Identitätskarte_(Schweiz),5605
de.wikipedia/OpenServer,5590
en.wikipedia/List_of_prime_numbers,5486
en.wikipedia/Phenazepam,5431
en.wikipedia/Wiki,5380
commons.wikimedia/File:2018_Lieder_am_See_-_Spider_Murphy_Gang_-_Willie_Duncan_-_by_2eight_-_DSC1097.jpg,5317
en.wikipedia/Anna_University,5254
en.wikipedia/Boryeong,5218
en.wikipedia/Sergey_Lavrov,5110
en.wikipedia/Help:Category,5104
en.wikipedia/Two-port_network,5097
en.wikipedia/Lastovo,5055
en.wikipedia/Mythology_of_The_X-Files,5052
en.wikipedia/Universe,5004
en.wikipedia/Rogier_van_der_Weyden,4952
en.wikipedia/HI,4887
de.wikipedia/Harry_Potter_(Filmreihe),4872
en.wikipedia/World_War_I,4848
en.wikipedia/File:Hysteria_by_Human_League_back_cover_tracklist.png,4765
en.wikipedia/Synanon,4738
en.wikipedia/Greece,4707
en.wikipedia/Slavery_among_Native_Americans_in_the_United_States,4673
en.wikipedia/Expansion_of_the_universe,4575
en.wikipedia/Interpreting_contracts_in_English_law,4566
en.wikipedia/Dentist,4560
