key,estimated_views
en.wikipedia/Main_Page,8878863
en.wikipedia/Stresser,4648895
de.wikipedia/Wikipedia:Hauptseite,1748229
en.wikipedia/Wikipedia:Contact_us,136199
en.wikipedia/Wikipedia:About,135738
en.wikipedia/Help:Introduction,117436
en.wikipedia/Portal:Current_events,117177
en.wikipedia/Wikipedia:Contents,117172
en.wikipedia/Help:Contents,115289
en.wikipedia/Special:RecentChanges,113891
de.wikipedia/Hauptseite,108980
en.wikipedia/Category:Jack_Kemp,106982
en.wikipedia/Wikipedia:Community_portal,105769
en.wikipedia/Wikipedia:File_upload_wizard,105411
en.wikipedia/Wikipedia:General_disclaimer,103879
en.wikipedia/Wikipedia:About_Today's_featured_article,102361
en.wikipedia/Wikipedia:Selected_anniversaries,102226
en.wikipedia/World_War_II,95266
en.wikipedia/Fujita_scale,79634
cs.wikipedia/Wikipedie:Pod_l%C3%ADpou,74939
commons.wikimedia/Main_Page,68002
en.wikipedia/Corpo_della_Nobiltà_Italiana,57361
en.wikipedia/Galgano_Guidotti,50136
de.wikipedia/Spezial:Suche,46553
en.wikipedia/Bottleneck_(production),41770
en.wikipedia/Special:Search,39265
de.wikipedia/Liste_musikalischer_Vortragsbezeichnungen,38613
en.wikipedia/Rachel_Lambert_Mellon,38535
en.wikipedia/Tami_Erin,36546
en.wikipedia/Wilhelm_Stuckart,35243
en.wikipedia/Inverted_bow,30695
en.wikipedia/Rub_el_Hizb,29054
de.wikipedia/Ext4,28293
de.wikipedia/Läufer,27561
en.wikipedia/Zither,26836
en.wikipedia/New_Year's_Day,24549
en.wikipedia/Counts_of_Wartenberg,23335
commons.wikimedia/File:Shawn_Mendes_-_It'll_Be_Okay_cover.jpg,23138
en.wikipedia/Levi_Bellfield,22785
da.wikipedia/Forside,21076
en.wikinews/Main_Page,20650
en.wikipedia/Four_Times_of_the_Day,19532
de.wikipedia/Journaling-Dateisystem,19201
en.wikipedia/Star,18971
cs.wikipedia/Port%C3%A1l:Aktuality/vlastn%C3%AD_text,18830
en.wikipedia/H._W._Brands,18602
en.wikipedia/List_of_abbreviations_in_oil_and_gas_exploration_and_production,18013
en.wikipedia/Deaths_in_2024,17201
en.wikipedia/Site,16765
en.wikipedia/List_of_accidents_and_incidents_involving_commercial_aircraft,16257
en.wikipedia/Donald_Trump,16154
"en.wikipedia/Lambert,_Hendricks_&_Ross",15630
en.wikipedia/Joe_Biden,15353
en.wikipedia/Duke_of_Gloucester,14710
en.wikipedia/Characters_of_the_Marvel_Cinematic_Universe:_A–L,13973
en.wikipedia/George_Chorpenning,13786
de.wikipedia/Der_Nachsommer,13663
en.wikipedia/Apple_Network_Server,13316
en.wikipedia/Wikipedia_talk:Why_was_the_page_I_created_deleted?,13221
de.wikipedia/Main_Page,12963
dsb.wikipedia/Main_Page,12958
en.wikipedia/Wikipedia,12500
en.wikipedia/Darth_Vader,12283
en.wikipedia/Spendthrift_trust,12160
en.wikipedia/Community_Hospital_North,11964
de.wikipedia/Special:MyPage/toolserverhelferleinconfig.js,11953
en.wikipedia/Alternative_media_(U.S._political_right),11904
en.wikipedia/Ann_Pettifor,11544
ar.wikipedia/الأردن,11422
en.wikipedia/ISBN_(identifier),11369
en.wikipedia/Black_hole,11334
en.wikipedia/Troy,11322
en.wikipedia/Sea_Peoples,11295
de.wikipedia/Byte,11135
en.wikipedia/Always_a_Witch,11087
en.wikipedia/Diamond_(gemstone),11053
de.wikipedia/Ext3,11032
el.wikipedia/Πύλη:Κύρια,11018
commons.wikimedia/Special:Search,10951
en.wikipedia/P._D._James,10755
en.wikipedia/Barack_Obama,10287
en.wikipedia/Raindrop_cake,10086
en.wikipedia/List_of_presidents_of_the_United_States,9887
en.wikipedia/George_W._Bush,9632
en.wikipedia/Lilith,9599
en.wikipedia/Biggest_ball_of_twine,9530
en.wikipedia/Louis_Prima,9526
en.wikipedia/Bill_Clinton,9244
en.wikipedia/Mauritius,9196
en.wikipedia/Archibald_Cox,8733
de.wikipedia/Gedenkmünzen_der_Bundesrepublik_Deutschland,8696
en.wikipedia/Negative_number,8642
en.wikipedia/Aptoide,8399
"en.wikipedia/I,_Robot_(film)",8364
de.wikipedia/Erster_Koalitionskrieg,8293
en.wikipedia/Keychain,8227
en.wikipedia/GE_Capital_Rail_Services,8160
en.wikipedia/Depraved-heart_murder,8150
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches,8082
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches_(2020–2022),8040
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches_(2010–2019),8009
en.wikipedia/Almojábana,7729
en.wikipedia/Essiac,7475
en.wikipedia/Stackdriver,7426
en.wikipedia/Utsuro-bune,7322
en.wikipedia/Kevin_Bacon,7252
en.wikipedia/Achelousaurus,7067
en.wikipedia/List_of_the_United_States_National_Park_System_official_units,6994
en.wikipedia/Glossary_of_music_terminology,6939
en.wikipedia/English_Wikipedia,6934
en.wikipedia/Brooklyn,6900
en.wikipedia/Google,6878
cs.wikipedia/Moravěves,6640
en.wikipedia/Indian_palm_squirrel,6528
en.wikipedia/Copernican_heliocentrism,6493
en.wikipedia/Squid_Game_season_2,6471
en.wikipedia/Charbel_Makhluf,6341
en.wikipedia/Garden_of_the_Gods,6250
en.wikipedia/List_of_woodwind_instruments,6236
en.wikipedia/United_States_Senate,6177
en.wikipedia/India,6146
en.wikipedia/Brian_Greene,6001
"en.wikipedia/\"\\\"Hello,_World!\\\"_program\"",5945
en.wikipedia/Greek_alphabet,5943
en.wikipedia/Bar,5925
en.wikipedia/The_Beatles'_recording_sessions,5842
en.wikipedia/Carol_Lynley,5811
en.wikipedia/Death_mask,5806
de.wikipedia/Transaktion_(Informatik),5790
