key,estimated_views
en.wikipedia/Main_Page,8878784
en.wikipedia/Stresser,4648858
de.wikipedia/Wikipedia:Hauptseite,1748058
en.wikipedia/Wikipedia:Contact_us,136193
en.wikipedia/Wikipedia:About,135730
en.wikipedia/Help:Introduction,117331
en.wikipedia/Wikipedia:Contents,117166
en.wikipedia/Portal:Current_events,117120
en.wikipedia/Help:Contents,115184
en.wikipedia/Special:RecentChanges,113852
de.wikipedia/Hauptseite,108803
en.wikipedia/Category:Jack_Kemp,106839
en.wikipedia/Wikipedia:Community_portal,105763
en.wikipedia/Wikipedia:File_upload_wizard,105405
en.wikipedia/Wikipedia:General_disclaimer,103873
en.wikipedia/Wikipedia:About_Today's_featured_article,102353
en.wikipedia/Wikipedia:Selected_anniversaries,102221
en.wikipedia/World_War_II,95263
en.wikipedia/Fujita_scale,79522
cs.wikipedia/Wikipedie:Pod_l%C3%ADpou,74757
commons.wikimedia/Main_Page,67817
en.wikipedia/Corpo_della_Nobiltà_Italiana,57226
en.wikipedia/Galgano_Guidotti,50024
de.wikipedia/Spezial:Suche,46381
en.wikipedia/Bottleneck_(production),41620
en.wikipedia/Special:Search,39226
en.wikipedia/Rachel_Lambert_Mellon,38482
de.wikipedia/Liste_musikalischer_Vortragsbezeichnungen,38438
en.wikipedia/Tami_Erin,36518
en.wikipedia/Wilhelm_Stuckart,35239
en.wikipedia/Inverted_bow,30595
en.wikipedia/Rub_el_Hizb,29006
de.wikipedia/Ext4,28115
de.wikipedia/Läufer,27386
en.wikipedia/Zither,26835
en.wikipedia/New_Year's_Day,24482
en.wikipedia/Counts_of_Wartenberg,23201
commons.wikimedia/File:Shawn_Mendes_-_It'll_Be_Okay_cover.jpg,22950
en.wikipedia/Levi_Bellfield,22698
da.wikipedia/Forside,20894
en.wikinews/Main_Page,20482
en.wikipedia/Four_Times_of_the_Day,19419
de.wikipedia/Journaling-Dateisystem,19025
en.wikipedia/Star,18933
cs.wikipedia/Port%C3%A1l:Aktuality/vlastn%C3%AD_text,18647
en.wikipedia/H._W._Brands,18495
en.wikipedia/List_of_abbreviations_in_oil_and_gas_exploration_and_production,17928
en.wikipedia/Deaths_in_2024,17070
en.wikipedia/Site,16724
en.wikipedia/List_of_accidents_and_incidents_involving_commercial_aircraft,16172
en.wikipedia/Donald_Trump,16025
"en.wikipedia/Lambert,_Hendricks_&_Ross",15541
en.wikipedia/Joe_Biden,15257
en.wikipedia/Duke_of_Gloucester,14582
en.wikipedia/Characters_of_the_Marvel_Cinematic_Universe:_A–L,13835
