key,estimated_views
en.wikipedia/Main_Page,8826868
en.wikipedia/Stresser,4662556
de.wikipedia/Wikipedia:Hauptseite,1755613
en.wikipedia/Wikipedia:About,139313
en.wikipedia/Wikipedia:Contact_us,129996
de.wikipedia/Hauptseite,123785
en.wikipedia/Wikipedia:Contents,118461
en.wikipedia/Help:Introduction,116686
en.wikipedia/Special:RecentChanges,116242
en.wikipedia/Help:Contents,108256
en.wikipedia/Portal:Current_events,106925
en.wikipedia/Category:Jack_Kemp,106481
en.wikipedia/Wikipedia:General_disclaimer,105150
en.wikipedia/Wikipedia:About_Today's_featured_article,103376
en.wikipedia/Wikipedia:File_upload_wizard,102932
en.wikipedia/Wikipedia:Community_portal,102488
en.wikipedia/Wikipedia:Selected_anniversaries,100714
en.wikipedia/World_War_II,99383
en.wikipedia/Fujita_scale,82523
cs.wikipedia/Wikipedie:Pod_l%C3%ADpou,82079
commons.wikimedia/Main_Page,69213
en.wikipedia/Corpo_della_Nobiltà_Italiana,63889
en.wikipedia/Bottleneck_(production),46586
en.wikipedia/Galgano_Guidotti,46586
de.wikipedia/Spezial:Suche,40818
en.wikipedia/Special:Search,39487
de.wikipedia/Liste_musikalischer_Vortragsbezeichnungen,39043
en.wikipedia/Tami_Erin,36381
en.wikipedia/Rachel_Lambert_Mellon,35050
en.wikipedia/Wilhelm_Stuckart,33275
de.wikipedia/Ext4,32388
en.wikipedia/Inverted_bow,30613
de.wikipedia/Läufer,28395
en.wikipedia/Counts_of_Wartenberg,28395
en.wikipedia/Zither,23515
en.wikipedia/Rub_el_Hizb,23071
en.wikipedia/Donald_Trump,21740
cs.wikipedia/Port%C3%A1l:Aktuality/vlastn%C3%AD_text,21740
de.wikipedia/Journaling-Dateisystem,20409
en.wikipedia/Levi_Bellfield,20409
da.wikipedia/Forside,19522
en.wikinews/Main_Page,19522
en.wikipedia/New_Year's_Day,19522
en.wikipedia/List_of_accidents_and_incidents_involving_commercial_aircraft,19078
en.wikipedia/Star,18634
en.wikipedia/Site,18191
en.wikipedia/Four_Times_of_the_Day,18191
en.wikipedia/George_Chorpenning,17747
commons.wikimedia/File:Shawn_Mendes_-_It'll_Be_Okay_cover.jpg,17303
en.wikipedia/List_of_abbreviations_in_oil_and_gas_exploration_and_production,16860
en.wikipedia/Joe_Biden,16860
en.wikipedia/H._W._Brands,15972
en.wikipedia/Deaths_in_2024,15529
de.wikipedia/Special:MyPage/toolserverhelferleinconfig.js,15085
"en.wikipedia/Lambert,_Hendricks_&_Ross",14641
en.wikipedia/Duke_of_Gloucester,14198
en.wikipedia/Troy,14198
en.wikipedia/Wikipedia,13754
en.wikipedia/Darth_Vader,13754
en.wikipedia/Sea_Peoples,13310
ar.wikipedia/الأردن,13310
en.wikipedia/Wikipedia_talk:Why_was_the_page_I_created_deleted?,12867
commons.wikimedia/Special:Search,12423
dsb.wikipedia/Main_Page,12423
de.wikipedia/Ext3,12423
en.wikipedia/Black_hole,12423
en.wikipedia/Keychain,11979
en.wikipedia/Spendthrift_trust,11979
el.wikipedia/Πύλη:Κύρια,11979
en.wikipedia/Always_a_Witch,11979
en.wikipedia/Characters_of_the_Marvel_Cinematic_Universe:_A–L,11535
en.wikipedia/Raindrop_cake,11535
en.wikipedia/Ann_Pettifor,11535
en.wikipedia/P._D._James,11535
en.wikipedia/Lilith,11092
en.wikipedia/English_Wikipedia,11092
en.wikipedia/Biggest_ball_of_twine,11092
en.wikipedia/Barack_Obama,10648
de.wikipedia/Main_Page,10204
en.wikipedia/Apple_Network_Server,10204
en.wikipedia/Mauritius,9761
en.wikipedia/Community_Hospital_North,9761
de.wikipedia/Gedenkmünzen_der_Bundesrepublik_Deutschland,9317
en.wikipedia/Diamond_(gemstone),9317
en.wikipedia/ISBN_(identifier),9317
en.wikipedia/Negative_number,8873
en.wikipedia/Essiac,8873
en.wikipedia/Kevin_Bacon,8873
en.wikipedia/GE_Capital_Rail_Services,8873
en.wikipedia/India,8873
en.wikipedia/Boryeong,8430
de.wikipedia/Byte,8430
en.wikipedia/George_W._Bush,8430
en.wikipedia/List_of_presidents_of_the_United_States,8430
en.wikipedia/Stackdriver,8430
en.wikipedia/Alternative_media_(U.S._political_right),8430
en.wikipedia/Louis_Prima,7986
en.wikipedia/Archibald_Cox,7986
en.wikipedia/Indian_palm_squirrel,7986
en.wikipedia/List_of_the_United_States_National_Park_System_official_units,7986
cs.wikipedia/Hlavní_strana,7986
en.wikipedia/Slavery_among_Native_Americans_in_the_United_States,7542
en.wikipedia/Bill_Clinton,7542
de.wikipedia/Erster_Koalitionskrieg,7542
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches,7542
en.wikipedia/Depraved-heart_murder,7099
en.wikipedia/Charbel_Makhluf,7099
de.wikipedia/Fragmentierung_(Dateisystem),7099
en.wikipedia/Squid_Game_season_2,7099
en.wikipedia/Brian_Greene,7099
en.wikipedia/United_States_Senate,6655
en.wikipedia/Facebook,6655
en.wikipedia/Bar,6655
en.wikipedia/DC_Extended_Universe,6655
de.wikipedia/Der_Nachsommer,6655
en.wikipedia/Aptoide,6655
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches_(2010–2019),6655
en.wikipedia/Almojábana,6211
en.wikipedia/Achelousaurus,6211
de.wikipedia/NTFS,6211
de.wikipedia/Transaktion_(Informatik),6211
en.wikipedia/Carol_Lynley,5768
en.wikipedia/U.S._state,5768
de.wikipedia/Sun_Microsystems,5768
en.wikipedia/Greek_alphabet,5768
de.wikipedia/OpenServer,5768
en.wikipedia/Google,5768
en.wikipedia/Interpreting_contracts_in_English_law,5768
en.wikipedia/Mythology_of_The_X-Files,5768
en.wikipedia/Glossary_of_music_terminology,5768
en.wikipedia/Belarus,5768
en.wikipedia/Philippines,5768
de.wikipedia/Identitätskarte_(Schweiz),5768
en.wikipedia/Lastovo,5324
en.wikipedia/special:search,5324
en.wikipedia/Synanon,5324
de.wikipedia/System_V,5324
de.wikipedia/TRIM,5324
de.wikipedia/Unix,5324
en.wikipedia/Utsuro-bune,5324
de.wikipedia/File_Allocation_Table,5324
en.wikipedia/Neurodiversity,5324
en.wikipedia/Doi_(identifier),5324
en.wikipedia/Universe,5324
"en.wikipedia/\"\\\"Hello,_World!\\\"_program\"",5324
commons.wikimedia/File:2018_Lieder_am_See_-_Spider_Murphy_Gang_-_Willie_Duncan_-_by_2eight_-_DSC1097.jpg,5324
en.wikipedia/New_Year's_Eve,5324
en.wikipedia/The_Prodigy_(film),5324
en.wikipedia/List_of_prime_numbers,5324
en.wikipedia/Foobar,5324
de.wikipedia/Harry_Potter_(Filmreihe),5324
en.wikipedia/Copernican_heliocentrism,5324
en.wikipedia/Awards_and_decorations_of_the_British_Armed_Forces,5324
en.wikipedia/HI,4880
de.wikipedia/XFS_(Dateisystem),4880
en.wikipedia/Category:Articles_with_disputed_statements,4880
de.wikipedia/Verwaltungsgliederung_Vietnams,4880
en.wikipedia/YouTube,4880
en.wikipedia/Anna_University,4880
en.wikipedia/Cat,4880
"commons.wikimedia/File:Calle_en_Colonia_Roma,_Cd._de_México.jpg",4880
en.wikipedia/Help:Category,4880
en.wikipedia/Romania,4880
en.wikipedia/Java_(programming_language),4880
de.wiktionary/Wiktionary:Hauptseite,4880
en.wikipedia/Category:Articles_with_disputed_statements_from_April_2008,4880
de.wikipedia/B⁺-Baum,4880
"en.wikipedia/I,_Robot_(film)",4880
az.wikipedia/Pak_Çi_Min,4880
en.wikipedia/Garden_of_the_Gods,4880
en.wikipedia/26th_Infantry_Regiment_(United_States),4880
en.wikipedia/Ten_stages_of_genocide,4880
en.wikipedia/Death_mask,4437
en.wikipedia/Yes_(band),4437
en.wikipedia/Masaru_Emoto,4437
en.wikipedia/The_Beatles'_recording_sessions,4437
en.wikipedia/Wiki,4437
en.wikipedia/Category:Articles_with_disputed_statements_from_February_2019,4437
en.wikipedia/Encyclopedia,4437
de.wikipedia/Tebibyte,4437
en.wikipedia/Category:Articles_with_disputed_statements_from_August_2023,4437
en.wikipedia/Cold_War,4437
af.wikipedia/Tuisblad,4437
cs.wikipedia/Moravěves,4437
