key,estimated_views
en.wikipedia/Main_Page,8879001
en.wikipedia/Stresser,4649075
de.wikipedia/Wikipedia:Hauptseite,1748275
en.wikipedia/Wikipedia:Contact_us,136410
en.wikipedia/Wikipedia:About,135947
en.wikipedia/Help:Introduction,117548
en.wikipedia/Wikipedia:Contents,117383
en.wikipedia/Portal:Current_events,117337
en.wikipedia/Help:Contents,115401
en.wikipedia/Special:RecentChanges,114069
de.wikipedia/Hauptseite,109020
en.wikipedia/Category:Jack_Kemp,107056
en.wikipedia/Wikipedia:Community_portal,105980
en.wikipedia/Wikipedia:File_upload_wizard,105622
en.wikipedia/Wikipedia:General_disclaimer,104090
en.wikipedia/Wikipedia:About_Today's_featured_article,102570
en.wikipedia/Wikipedia:Selected_anniversaries,102438
en.wikipedia/World_War_II,95480
en.wikipedia/Fujita_scale,79739
cs.wikipedia/Wikipedie:Pod_l%C3%ADpou,74974
commons.wikimedia/Main_Page,68034
en.wikipedia/Corpo_della_Nobiltà_Italiana,57443
en.wikipedia/Galgano_Guidotti,50241
de.wikipedia/Spezial:Suche,46598
en.wikipedia/Bottleneck_(production),41837
en.wikipedia/Special:Search,39443
en.wikipedia/Rachel_Lambert_Mellon,38699
de.wikipedia/Liste_musikalischer_Vortragsbezeichnungen,38655
en.wikipedia/Tami_Erin,36735
en.wikipedia/Wilhelm_Stuckart,35456
en.wikipedia/Inverted_bow,30812
en.wikipedia/Rub_el_Hizb,29223
de.wikipedia/Ext4,28332
de.wikipedia/Läufer,27603
en.wikipedia/Zither,27052
en.wikipedia/New_Year's_Day,24699
en.wikipedia/Counts_of_Wartenberg,23418
commons.wikimedia/File:Shawn_Mendes_-_It'll_Be_Okay_cover.jpg,23167
en.wikipedia/Levi_Bellfield,22915
da.wikipedia/Forside,21111
en.wikinews/Main_Page,20699
en.wikipedia/Four_Times_of_the_Day,19636
de.wikipedia/Journaling-Dateisystem,19242
en.wikipedia/Star,19150
cs.wikipedia/Port%C3%A1l:Aktuality/vlastn%C3%AD_text,18864
en.wikipedia/H._W._Brands,18712
en.wikipedia/List_of_abbreviations_in_oil_and_gas_exploration_and_production,18145
en.wikipedia/Deaths_in_2024,17287
en.wikipedia/Site,16941
en.wikipedia/List_of_accidents_and_incidents_involving_commercial_aircraft,16389
en.wikipedia/Donald_Trump,16242
"en.wikipedia/Lambert,_Hendricks_&_Ross",15758
en.wikipedia/Joe_Biden,15474
en.wikipedia/Duke_of_Gloucester,14799
en.wikipedia/Characters_of_the_Marvel_Cinematic_Universe:_A–L,14052
en.wikipedia/George_Chorpenning,13892
de.wikipedia/Der_Nachsommer,13702
en.wikipedia/Wikipedia_talk:Why_was_the_page_I_created_deleted?,13434
en.wikipedia/Apple_Network_Server,13376
de.wikipedia/Main_Page,13005
dsb.wikipedia/Main_Page,13005
en.wikipedia/Wikipedia,12709
en.wikipedia/Darth_Vader,12368
en.wikipedia/Spendthrift_trust,12338
en.wikipedia/Community_Hospital_North,12046
de.wikipedia/Special:MyPage/toolserverhelferleinconfig.js,11998
en.wikipedia/Alternative_media_(U.S._political_right),11962
en.wikipedia/Ann_Pettifor,11603
en.wikipedia/Troy,11520
en.wikipedia/ISBN_(identifier),11484
en.wikipedia/Sea_Peoples,11467
ar.wikipedia/الأردن,11422
en.wikipedia/Black_hole,11400
de.wikipedia/Byte,11172
en.wikipedia/Always_a_Witch,11145
en.wikipedia/Diamond_(gemstone),11140
de.wikipedia/Ext3,11071
el.wikipedia/Πύλη:Κύρια,11066
commons.wikimedia/Special:Search,10983
en.wikipedia/P._D._James,10910
en.wikipedia/Barack_Obama,10350
en.wikipedia/Raindrop_cake,10250
en.wikipedia/List_of_presidents_of_the_United_States,10020
en.wikipedia/George_W._Bush,9738
en.wikipedia/Lilith,9729
en.wikipedia/Louis_Prima,9662
en.wikipedia/Biggest_ball_of_twine,9595
en.wikipedia/Mauritius,9337
en.wikipedia/Bill_Clinton,9309
en.wikipedia/Archibald_Cox,8793
en.wikipedia/Negative_number,8791
de.wikipedia/Gedenkmünzen_der_Bundesrepublik_Deutschland,8736
"en.wikipedia/I,_Robot_(film)",8479
en.wikipedia/Aptoide,8459
en.wikipedia/Keychain,8352
de.wikipedia/Erster_Koalitionskrieg,8332
en.wikipedia/GE_Capital_Rail_Services,8265
en.wikipedia/Depraved-heart_murder,8236
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches,8213
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches_(2020–2022),8171
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches_(2010–2019),8140
en.wikipedia/Almojábana,7787
en.wikipedia/Stackdriver,7604
en.wikipedia/Essiac,7568
en.wikipedia/Utsuro-bune,7528
en.wikipedia/Kevin_Bacon,7377
en.wikipedia/List_of_the_United_States_National_Park_System_official_units,7128
en.wikipedia/Achelousaurus,7122
en.wikipedia/Glossary_of_music_terminology,7046
en.wikipedia/English_Wikipedia,7026
en.wikipedia/Google,6986
en.wikipedia/Brooklyn,6968
