key,total_views
synth_1,8409097
synth_2,3660272
synth_3,2250110
synth_4,1593226
synth_5,1218948
synth_6,979417
synth_7,814014
synth_8,693492
synth_9,602086
synth_10,530578
synth_11,473236
synth_12,426316
synth_13,387273
synth_14,354320
synth_15,326167
synth_16,301860
synth_17,280679
synth_18,262073
synth_19,245609
synth_20,230948
synth_21,217814
synth_22,205988
synth_23,195288
synth_24,185565
synth_25,176694
synth_26,168570
synth_27,161106
synth_28,154227
synth_29,147867
synth_30,141972
synth_31,136495
synth_32,131392
synth_33,126629
synth_34,122173
synth_35,117996
synth_36,114074
synth_37,110384
synth_38,106908
synth_39,103627
synth_40,100526
synth_41,97591
synth_42,94809
synth_43,92169
synth_44,89662
synth_45,87276
synth_46,85004
synth_47,82838
synth_48,80772
synth_49,78798
synth_50,76910
synth_51,75104
synth_52,73375
synth_53,71716
synth_54,70126
synth_55,68598
synth_56,67131
synth_57,65720
synth_58,64363
synth_59,63056
synth_60,61797
synth_61,60583
synth_62,59413
synth_63,58283
synth_64,57192
synth_65,56138
synth_66,55118
synth_67,54133
synth_68,53179
synth_69,52255
synth_70,51361
synth_71,50494
synth_72,49654
synth_73,48838
synth_74,48048
synth_75,47280
synth_76,46534
synth_77,45810
synth_78,45106
synth_79,44422
synth_80,43756
synth_81,43109
synth_82,42479
synth_83,41865
synth_84,41268
synth_85,40686
synth_86,40119
synth_87,39566
synth_88,39027
synth_89,38502
synth_90,37989
synth_91,37489
synth_92,37000
synth_93,36523
synth_94,36058
synth_95,35603
synth_96,35158
synth_97,34723
synth_98,34299
synth_99,33883
synth_100,33477
synth_101,33080
synth_102,32691
synth_103,32311
synth_104,31938
synth_105,31573
synth_106,31216
synth_107,30867
synth_108,30524
synth_109,30188
synth_110,29859
synth_111,29537
synth_112,29221
synth_113,28910
synth_114,28606
synth_115,28308
synth_116,28016
synth_117,27728
synth_118,27447
synth_119,27170
synth_120,26899
synth_121,26632
synth_122,26370
synth_123,26113
synth_124,25861
synth_125,25613
synth_126,25369
synth_127,25130
synth_128,24894
synth_129,24663
synth_130,24435
synth_131,24212
synth_132,23992
synth_133,23775
synth_134,23563
synth_135,23353
synth_136,23147
synth_137,22945
synth_138,22745
synth_139,22549
synth_140,22356
synth_141,22166
synth_142,21979
synth_143,21794
synth_144,21613
synth_145,21434
synth_146,21258
synth_147,21085
synth_148,20914
synth_149,20746
synth_150,20580
synth_151,20416
synth_152,20255
synth_153,20096
synth_154,19940
synth_155,19786
synth_156,19634
synth_157,19484
synth_158,19336
