key,total_views
synth_1,16996509
synth_2,6009173
synth_3,3270980
synth_4,2124564
synth_5,1520214
synth_6,1156466
synth_7,917725
synth_8,751147
synth_9,629500
synth_10,537477
synth_11,465876
synth_12,408872
synth_13,362614
synth_14,324465
synth_15,292565
synth_16,265570
synth_17,242486
synth_18,222562
synth_19,205225
synth_20,190027
synth_21,176616
synth_22,164712
synth_23,154088
synth_24,144558
synth_25,135972
synth_26,128203
synth_27,121147
synth_28,114716
synth_29,108834
synth_30,103437
synth_31,98473
synth_32,93893
synth_33,89658
synth_34,85732
synth_35,82084
synth_36,78688
synth_37,75519
synth_38,72558
synth_39,69785
synth_40,67185
synth_41,64742
synth_42,62443
synth_43,60278
synth_44,58235
synth_45,56304
synth_46,54478
synth_47,52749
synth_48,51109
synth_49,49553
synth_50,48073
synth_51,46666
synth_52,45327
synth_53,44050
synth_54,42832
synth_55,41669
synth_56,40558
synth_57,39495
synth_58,38478
synth_59,37504
synth_60,36571
synth_61,35675
synth_62,34815
synth_63,33990
synth_64,33196
synth_65,32433
synth_66,31699
synth_67,30992
synth_68,30311
synth_69,29654
synth_70,29021
synth_71,28410
synth_72,27820
synth_73,27251
synth_74,26700
synth_75,26168
synth_76,25653
synth_77,25155
synth_78,24673
synth_79,24206
synth_80,23753
synth_81,23315
synth_82,22890
synth_83,22477
synth_84,22077
synth_85,21689
synth_86,21311
synth_87,20945
synth_88,20589
synth_89,20243
synth_90,19907
synth_91,19579
synth_92,19261
synth_93,18951
synth_94,18650
synth_95,18356
synth_96,18070
synth_97,17791
synth_98,17519
synth_99,17255
synth_100,16997
synth_101,16745
synth_102,16499
synth_103,16259
synth_104,16025
synth_105,15797
synth_106,15574
synth_107,15356
synth_108,15143
synth_109,14936
synth_110,14732
synth_111,14534
synth_112,14339
synth_113,14150
synth_114,13964
synth_115,13782
synth_116,13604
synth_117,13430
synth_118,13260
synth_119,13093
synth_120,12930
synth_121,12770
synth_122,12613
synth_123,12460
synth_124,12309
synth_125,12162
synth_126,12017
synth_127,11876
synth_128,11737
synth_129,11600
synth_130,11467
synth_131,11336
synth_132,11207
synth_133,11081
synth_134,10957
synth_135,10836
synth_136,10716
synth_137,10599
synth_138,10484
synth_139,10371
synth_140,10260
synth_141,10152
synth_142,10044
synth_143,9939
synth_144,9836
synth_145,9734
synth_146,9635
synth_147,9536
synth_148,9440
synth_149,9345
synth_150,9252
synth_151,9160
synth_152,9070
synth_153,8981
synth_154,8894
synth_155,8808
synth_156,8723
synth_157,8640
synth_158,8558
synth_159,8477
synth_160,8398
synth_161,8320
synth_162,8243
synth_163,8167
synth_164,8093
synth_165,8019
synth_166,7947
synth_167,7876
synth_168,7805
synth_169,7736
synth_170,7668
synth_171,7601
synth_172,7535
synth_173,7469
synth_174,7405
synth_175,7342
synth_176,7279
synth_177,7218
synth_178,7157
synth_179,7097
synth_180,7038
synth_181,6980
synth_182,6922
synth_183,6866
synth_184,6810
synth_185,6755
synth_186,6700
synth_187,6647
synth_188,6594
synth_189,6541
synth_190,6490
synth_191,6439
synth_192,6389
synth_193,6339
synth_194,6290
synth_195,6242
synth_196,6194
synth_197,6147
synth_198,6100
synth_199,6055
synth_200,6009
synth_201,5964
synth_202,5920
synth_203,5876
synth_204,5833
synth_205,5791
synth_206,5749
synth_207,5707
synth_208,5666
synth_209,5625
synth_210,5585
synth_211,5545
synth_212,5506
synth_213,5468
synth_214,5429
synth_215,5391
synth_216,5354
synth_217,5317
synth_218,5280
synth_219,5244
synth_220,5209
synth_221,5173
synth_222,5138
synth_223,5104
synth_224,5070
synth_225,5036
synth_226,5003
synth_227,4970
synth_228,4937
synth_229,4905
synth_230,4873
synth_231,4841
synth_232,4810
synth_233,4779
synth_234,4748
synth_235,4718
synth_236,4688
synth_237,4658
synth_238,4629
synth_239,4600
synth_240,4571
synth_241,4543
synth_242,4515
synth_243,4487
synth_244,4459
synth_245,4432
synth_246,4405
synth_247,4378
synth_248,4352
synth_249,4326
synth_250,4300
synth_251,4274
synth_252,4249
synth_253,4224
synth_254,4199
synth_255,4174
synth_256,4150
synth_257,4125
synth_258,4101
synth_259,4078
synth_260,4054
synth_261,4031
synth_262,4008
synth_263,3985
synth_264,3962
synth_265,3940
synth_266,3918
synth_267,3896
synth_268,3874
synth_269,3852
synth_270,3831
synth_271,3810
synth_272,3789
synth_273,3768
synth_274,3747
synth_275,3727
synth_276,3707
synth_277,3687
synth_278,3667
synth_279,3647
synth_280,3628
synth_281,3608
synth_282,3589
synth_283,3570
synth_284,3551
synth_285,3533
synth_286,3514
synth_287,3496
synth_288,3478
synth_289,3459
synth_290,3442
synth_291,3424
synth_292,3406
synth_293,3389
synth_294,3372
synth_295,3354
synth_296,3338
synth_297,3321
synth_298,3304
synth_299,3287
synth_300,3271
synth_301,3255
synth_302,3239
synth_303,3223
synth_304,3207
synth_305,3191
synth_306,3175
synth_307,3160
synth_308,3144
synth_309,3129
synth_310,3114
synth_311,3099
synth_312,3084
synth_313,3069
synth_314,3055
synth_315,3040
synth_316,3026
synth_317,3011
synth_318,2997
synth_319,2983
synth_320,2969
synth_321,2955
synth_322,2942
synth_323,2928
synth_324,2914
synth_325,2901
