algorithm,partitions,memory_kb,top_k,total_rows,build_merge_s,throughput_rows_s,speedup_vs_p1,captured_topk,recall_pct,mean_rel_error_pct,max_rel_error_pct,max_abs_diff_vs_p1
CMS,1,1024,100,10897474,23.179,470148,1.000,100,100.0,4.35,9.66,0
CMS,2,1024,100,10897474,13.122,830446,1.766,100,100.0,4.35,9.66,0
CMS,4,1024,100,10897474,7.000,1556713,3.311,100,100.0,4.35,9.66,0
CMS,8,1024,100,10897474,5.217,2088946,4.443,100,100.0,4.35,9.66,0
CMS,16,1024,100,10897474,5.281,2063529,4.389,100,100.0,4.35,9.66,0
MisraGries,1,1024,100,10897474,30.407,358389,1.000,100,100.0,9.98,30.77,0
MisraGries,2,1024,100,10897474,13.398,813356,2.269,100,100.0,4.87,18.23,1777
MisraGries,4,1024,100,10897474,7.207,1512095,4.219,100,100.0,2.52,8.99,2425
MisraGries,8,1024,100,10897474,5.062,2152933,6.007,100,100.0,1.53,5.00,2712
MisraGries,16,1024,100,10897474,5.147,2117185,5.908,100,100.0,1.20,3.51,2823
FastAMS,1,1024,100,10897474,51.785,210437,1.000,100,100.0,0.39,2.20,0
FastAMS,2,1024,100,10897474,25.890,420909,2.000,100,100.0,0.39,2.20,0
FastAMS,4,1024,100,10897474,17.127,636278,3.024,100,100.0,0.39,2.20,0
FastAMS,8,1024,100,10897474,13.039,835764,3.972,100,100.0,0.39,2.20,0
FastAMS,16,1024,100,10897474,14.036,776403,3.689,100,100.0,0.39,2.20,0
