algorithm,memory_kb,params,phi,total_weight,threshold,hh_count,true_hh_count,tp,fp,fn,precision_pct,recall_pct,mean_rel_error_pct,max_rel_error_pct,runtime_s,throughput_rows_s
CMS,128,w=3276;d=5;eps=8.30e-04,1.0e-04,44367267,4437,9744815,158,158,9744657,0,0.0,100.0,68.14,153.18,45.03,241994
CMS,256,w=6553;d=5;eps=4.15e-04,1.0e-04,44367267,4437,1780,158,158,1622,0,8.9,100.0,33.38,74.86,42.65,255485
CMS,512,w=13107;d=5;eps=2.07e-04,1.0e-04,44367267,4437,262,158,158,104,0,60.3,100.0,15.67,36.19,38.54,282794
CMS,1024,w=26214;d=5;eps=1.04e-04,1.0e-04,44367267,4437,213,158,158,55,0,74.2,100.0,7.47,19.70,39.63,275008
CMS,2048,w=52428;d=5;eps=5.18e-05,1.0e-04,44367267,4437,169,158,158,11,0,93.5,100.0,3.40,8.66,41.37,263440
CMS,4096,w=104857;d=5;eps=2.59e-05,1.0e-04,44367267,4437,162,158,158,4,0,97.5,100.0,1.56,5.58,42.77,254810
CMS,8192,w=209715;d=5;eps=1.30e-05,1.0e-04,44367267,4437,159,158,158,1,0,99.4,100.0,0.71,1.72,44.17,246728
FastAMS,128,t=7;s=2340;eps2=6.84e-03,1.0e-04,44367267,4437,291,158,155,136,3,53.3,98.1,3.83,59.77,59.29,183796
FastAMS,256,t=7;s=4681;eps2=3.42e-03,1.0e-04,44367267,4437,167,158,156,11,2,93.4,98.7,1.94,10.55,65.08,167455
FastAMS,512,t=7;s=9362;eps2=1.71e-03,1.0e-04,44367267,4437,160,158,158,2,0,98.8,100.0,1.15,8.10,56.46,193012
FastAMS,1024,t=7;s=18724;eps2=8.55e-04,1.0e-04,44367267,4437,159,158,158,1,0,99.4,100.0,0.70,4.73,55.22,197361
FastAMS,2048,t=7;s=37449;eps2=4.27e-04,1.0e-04,44367267,4437,158,158,158,0,0,100.0,100.0,0.43,4.74,58.04,187755
FastAMS,4096,t=7;s=74898;eps2=2.14e-04,1.0e-04,44367267,4437,158,158,158,0,0,100.0,100.0,0.22,1.77,63.56,171460
FastAMS,8192,t=7;s=149796;eps2=1.07e-04,1.0e-04,44367267,4437,158,158,158,0,0,100.0,100.0,0.15,0.82,68.38,159362
MG,128,capacity=1024;eps=9.76e-04,1.0e-04,44367267,1,771,158,75,696,83,9.7,47.5,38.40,99.96,33.17,328524
MG,256,capacity=2048;eps=4.88e-04,1.0e-04,44367267,1,1690,158,121,1569,37,7.2,76.6,40.29,96.95,27.91,390520
MG,512,capacity=4096;eps=2.44e-04,1.0e-04,44367267,1,2905,158,156,2749,2,5.4,98.7,30.81,94.23,28.29,385165
MG,1024,capacity=8192;eps=1.22e-04,1.0e-04,44367267,1,6126,158,158,5968,0,2.6,100.0,15.72,52.66,28.85,377703
