algorithm,memory_kb,params,phi,total_weight,threshold,hh_count,true_hh_count,tp,fp,fn,precision_pct,recall_pct,mean_rel_error_pct,max_rel_error_pct,runtime_s,throughput_rows_s
CMS,128,w=3276;d=5;eps=8.30e-04;target=phi*N,1.0e-04,44367267,4437,9744815,158,158,9744657,0,0.0,100.0,68.14,153.18,34.34,317313
CMS,256,w=6553;d=5;eps=4.15e-04;target=phi*N,1.0e-04,44367267,4437,1780,158,158,1622,0,8.9,100.0,33.38,74.86,25.38,429305
CMS,512,w=13107;d=5;eps=2.07e-04;target=phi*N,1.0e-04,44367267,4437,262,158,158,104,0,60.3,100.0,15.67,36.19,23.59,462012
CMS,1024,w=26214;d=5;eps=1.04e-04;target=phi*N,1.0e-04,44367267,4437,213,158,158,55,0,74.2,100.0,7.47,19.70,23.22,469274
CMS,2048,w=52428;d=5;eps=5.18e-05;target=phi*N,1.0e-04,44367267,4437,169,158,158,11,0,93.5,100.0,3.40,8.66,24.05,453080
CMS,4096,w=104857;d=5;eps=2.59e-05;target=phi*N,1.0e-04,44367267,4437,162,158,158,4,0,97.5,100.0,1.56,5.58,25.80,422465
CMS,8192,w=209715;d=5;eps=1.30e-05;target=phi*N,1.0e-04,44367267,4437,159,158,158,1,0,99.4,100.0,0.71,1.72,27.45,396950
FastAMS,128,t=7;s=2340;eps2=6.84e-03;target=phi*N,1.0e-04,44367267,4437,291,158,155,136,3,53.3,98.1,3.83,59.77,89.47,121796
FastAMS,256,t=7;s=4681;eps2=3.42e-03;target=phi*N,1.0e-04,44367267,4437,167,158,156,11,2,93.4,98.7,1.94,10.55,86.07,126610
FastAMS,512,t=7;s=9362;eps2=1.71e-03;target=phi*N,1.0e-04,44367267,4437,160,158,158,2,0,98.8,100.0,1.15,8.10,88.00,123834
FastAMS,1024,t=7;s=18724;eps2=8.55e-04;target=phi*N,1.0e-04,44367267,4437,159,158,158,1,0,99.4,100.0,0.70,4.73,84.12,129542
FastAMS,2048,t=7;s=37449;eps2=4.27e-04;target=phi*N,1.0e-04,44367267,4437,158,158,158,0,0,100.0,100.0,0.43,4.74,87.21,124952
FastAMS,4096,t=7;s=74898;eps2=2.14e-04;target=phi*N,1.0e-04,44367267,4437,158,158,158,0,0,100.0,100.0,0.22,1.77,94.10,115805
FastAMS,8192,t=7;s=149796;eps2=1.07e-04;target=phi*N,1.0e-04,44367267,4437,158,158,158,0,0,100.0,100.0,0.15,0.82,97.53,111733
AMS,128,mode=fast;t=4;s=2458;cmsW=1310;eps2=6.51e-03;target=phi*N,1.0e-04,44367267,4437,6584111,158,111,6584000,47,0.0,70.3,1123.62,4862.84,33791.69,289
AMS,256,mode=fast;t=4;s=4915;cmsW=2621;eps2=3.26e-03;target=phi*N,1.0e-04,44367267,4437,6528613,158,119,6528494,39,0.0,75.3,844.59,3653.70,33791.69,289
AMS,512,mode=fast;t=4;s=9831;cmsW=5242;eps2=1.63e-03;target=phi*N,1.0e-04,44367267,4437,443789,158,118,443671,40,0.0,74.7,527.24,2303.26,33791.69,289
AMS,1024,mode=fast;t=4;s=19661;cmsW=10485;eps2=8.14e-04;target=phi*N,1.0e-04,44367267,4437,225,158,125,100,33,55.6,79.1,367.27,1740.62,33791.69,289
AMS,2048,mode=fast;t=4;s=32768;cmsW=20971;eps2=4.88e-04;target=phi*N,1.0e-04,44367267,4437,162,158,117,45,41,72.2,74.1,270.93,1618.59,33791.69,289
AMS,4096,mode=fast;t=4;s=32768;cmsW=41943;eps2=4.88e-04;target=phi*N,1.0e-04,44367267,4437,126,158,117,9,41,92.9,74.1,270.93,1618.59,33791.69,289
AMS,8192,mode=fast;t=4;s=32768;cmsW=83886;eps2=4.88e-04;target=phi*N,1.0e-04,44367267,4437,120,158,117,3,41,97.5,74.1,270.93,1618.59,33791.69,289
SS,128,capacity=963;eps=1.04e-03;target=phi*N,1.0e-04,44367267,4437,963,158,72,891,86,7.5,45.6,137.69,568.36,64.42,169152
SS,256,capacity=1927;eps=5.19e-04;target=phi*N,1.0e-04,44367267,4437,1927,158,116,1811,42,6.0,73.4,69.25,278.79,68.41,159308
SS,512,capacity=3855;eps=2.59e-04;target=phi*N,1.0e-04,44367267,4437,3855,158,155,3700,3,4.0,98.1,34.75,136.56,61.42,177440
SS,1024,capacity=7710;eps=1.30e-04;target=phi*N,1.0e-04,44367267,4437,272,158,158,114,0,58.1,100.0,16.68,66.89,65.23,167057
SS,2048,capacity=15420;eps=6.49e-05;target=phi*N,1.0e-04,44367267,4437,186,158,158,28,0,84.9,100.0,8.05,32.30,84.89,128378
SS,4096,capacity=30840;eps=3.24e-05;target=phi*N,1.0e-04,44367267,4437,170,158,158,12,0,92.9,100.0,3.87,15.58,85.96,126768
SS,8192,capacity=61680;eps=1.62e-05;target=phi*N,1.0e-04,44367267,4437,163,158,158,5,0,96.9,100.0,1.85,7.45,94.21,115671
Concise,128,M=1024;seeds=5;target=phi*N,1.0e-04,44367267,4437,1984,158,88,1896,70,4.4,55.7,80.23,472.48,33.78,322601
Concise,256,M=2048;seeds=5;target=phi*N,1.0e-04,44367267,4437,4021,158,126,3895,32,3.1,79.7,56.57,327.60,29.59,368320
Concise,512,M=4096;seeds=5;target=phi*N,1.0e-04,44367267,4437,267,158,122,145,36,45.7,77.2,32.78,174.38,28.95,376398
Concise,1024,M=8192;seeds=5;target=phi*N,1.0e-04,44367267,4437,260,158,140,120,18,53.8,88.6,25.90,151.72,26.45,411956
Concise,2048,M=16384;seeds=5;target=phi*N,1.0e-04,44367267,4437,212,158,144,68,14,67.9,91.1,21.84,109.91,27.45,397066
Concise,4096,M=32768;seeds=5;target=phi*N,1.0e-04,44367267,4437,172,158,141,31,17,82.0,89.2,13.95,48.57,27.93,390213
Concise,8192,M=65536;seeds=5;target=phi*N,1.0e-04,44367267,4437,169,158,149,20,9,88.2,94.3,10.24,43.54,29.25,372538
Reservoir,128,M=1024;seeds=5;target=phi*N,1.0e-04,44367267,4437,3053,158,117,2936,41,3.8,74.1,60.79,578.98,36.24,300736
Reservoir,256,M=2048;seeds=5;target=phi*N,1.0e-04,44367267,4437,193,158,106,87,52,54.9,67.1,34.96,156.02,32.93,330918
Reservoir,512,M=4096;seeds=5;target=phi*N,1.0e-04,44367267,4437,182,158,118,64,40,64.8,74.7,33.71,213.78,32.71,333175
Reservoir,1024,M=8192;seeds=5;target=phi*N,1.0e-04,44367267,4437,168,158,133,35,25,79.2,84.2,21.26,110.43,33.30,327271
Reservoir,2048,M=16384;seeds=5;target=phi*N,1.0e-04,44367267,4437,178,158,144,34,14,80.9,91.1,14.80,97.12,35.03,311099
Reservoir,4096,M=32768;seeds=5;target=phi*N,1.0e-04,44367267,4437,170,158,144,26,14,84.7,91.1,12.17,71.50,35.53,306746
Reservoir,8192,M=65536;seeds=5;target=phi*N,1.0e-04,44367267,4437,167,158,151,16,7,90.4,95.6,7.73,38.09,39.43,276354
LC,128,capacity=963;eps=1.04e-03;target=phi*N,1.0e-04,44367267,4437,47,158,47,0,111,100.0,29.7,0.00,0.00,36.70,296966
LC,256,capacity=1927;eps=5.19e-04;target=phi*N,1.0e-04,44367267,4437,70,158,70,0,88,100.0,44.3,0.00,0.00,33.13,328980
LC,512,capacity=3855;eps=2.59e-04;target=phi*N,1.0e-04,44367267,4437,114,158,114,0,44,100.0,72.2,0.00,0.00,33.62,324137
LC,1024,capacity=7710;eps=1.30e-04;target=phi*N,1.0e-04,44367267,4437,156,158,156,0,2,100.0,98.7,0.00,0.00,34.55,315430
LC,2048,capacity=15420;eps=6.49e-05;target=phi*N,1.0e-04,44367267,4437,158,158,158,0,0,100.0,100.0,0.00,0.00,31.57,345174
LC,4096,capacity=30840;eps=3.24e-05;target=phi*N,1.0e-04,44367267,4437,158,158,158,0,0,100.0,100.0,0.00,0.00,37.92,287373
LC,8192,capacity=61680;eps=1.62e-05;target=phi*N,1.0e-04,44367267,4437,158,158,158,0,0,100.0,100.0,0.00,0.00,38.42,283641
MG,128,capacity=1024;eps=9.76e-04;target=phi*N,1.0e-04,44367267,4437,54,158,54,0,104,100.0,34.2,24.08,77.73,32.75,332747
MG,256,capacity=2048;eps=4.88e-04;target=phi*N,1.0e-04,44367267,4437,77,158,77,0,81,100.0,48.7,21.29,61.60,37.11,293693
MG,512,capacity=4096;eps=2.44e-04;target=phi*N,1.0e-04,44367267,4437,108,158,108,0,50,100.0,68.4,18.15,54.66,37.54,290274
MG,1024,capacity=8192;eps=1.22e-04;target=phi*N,1.0e-04,44367267,4437,126,158,126,0,32,100.0,79.7,11.21,32.77,38.79,280913
MG,2048,capacity=16384;eps=6.10e-05;target=phi*N,1.0e-04,44367267,4437,143,158,143,0,15,100.0,90.5,6.47,22.17,38.88,280285
MG,4096,capacity=32768;eps=3.05e-05;target=phi*N,1.0e-04,44367267,4437,152,158,152,0,6,100.0,96.2,3.47,12.25,41.03,265578
MG,8192,capacity=65536;eps=1.53e-05;target=phi*N,1.0e-04,44367267,4437,155,158,155,0,3,100.0,98.1,1.71,5.84,43.22,252140
