algorithm,variant,skew_s,memory_kb,top_k,true_k,overlap,precision_pct,recall_pct,f1_pct,mean_rel_error_pct,max_rel_error_pct,total_weight,runtime_s,throughput_rows_s
CMS,s0.6,0.6,1024,100,100,98,98.0,98.0,98.0,1.05,6.96,13289464,14.87,3364
CMS,s0.8,0.8,1024,100,100,99,99.0,99.0,99.0,0.30,2.33,23183905,6.23,8026
CMS,s1.0,1.0,1024,100,100,100,100.0,100.0,100.0,0.09,0.78,35132617,6.09,8207
CMS,s1.2,1.2,1024,100,100,100,100.0,100.0,100.0,0.03,0.28,42190420,5.66,8829
CMS,s1.5,1.5,1024,100,100,100,100.0,100.0,100.0,0.00,0.07,44250837,5.61,8916
CMS,wiki,NaN,1024,100,100,99,99.0,99.0,99.0,4.32,9.66,44367267,44.58,218961
FastAMS,s0.6,0.6,1024,100,100,98,98.0,98.0,98.0,1.49,9.53,13289464,14.15,3534
FastAMS,s0.8,0.8,1024,100,100,100,100.0,100.0,100.0,0.51,4.49,23183905,6.30,7935
FastAMS,s1.0,1.0,1024,100,100,100,100.0,100.0,100.0,0.16,1.60,35132617,5.92,8440
FastAMS,s1.2,1.2,1024,100,100,100,100.0,100.0,100.0,0.05,0.51,42190420,7.83,6390
FastAMS,s1.5,1.5,1024,100,100,100,100.0,100.0,100.0,0.01,0.09,44250837,7.38,6772
FastAMS,wiki,NaN,1024,100,100,100,100.0,100.0,100.0,0.39,2.20,44367267,121.96,80038
MG,s0.6,0.6,1024,100,100,93,93.0,93.0,93.0,8.87,21.81,13289464,18.34,2726
MG,s0.8,0.8,1024,100,100,97,97.0,97.0,97.0,3.26,9.86,23183905,12.53,3990
MG,s1.0,1.0,1024,100,100,99,99.0,99.0,99.0,1.18,3.83,35132617,10.97,4560
MG,s1.2,1.2,1024,100,100,100,100.0,100.0,100.0,0.43,1.50,42190420,9.27,5392
MG,s1.5,1.5,1024,100,100,100,100.0,100.0,100.0,0.09,0.35,44250837,6.20,8067
MG,wiki,NaN,1024,100,100,96,96.0,96.0,96.0,8.62,31.47,44367267,53.70,181771
LC,s0.6,0.6,1024,100,100,100,100.0,100.0,100.0,0.00,0.00,13289464,24.93,2006
LC,s0.8,0.8,1024,100,100,100,100.0,100.0,100.0,0.00,0.00,23183905,11.00,4545
LC,s1.0,1.0,1024,100,100,100,100.0,100.0,100.0,0.00,0.00,35132617,9.41,5313
LC,s1.2,1.2,1024,100,100,100,100.0,100.0,100.0,0.00,0.00,42190420,7.87,6355
LC,s1.5,1.5,1024,100,100,100,100.0,100.0,100.0,0.00,0.00,44250837,5.55,9003
LC,wiki,NaN,1024,100,100,100,100.0,100.0,100.0,0.00,0.00,44367267,51.22,190564
SS,s0.6,0.6,1024,100,100,92,92.0,92.0,92.0,8.62,27.15,13289464,20.03,2496
SS,s0.8,0.8,1024,100,100,97,97.0,97.0,97.0,2.67,10.00,23183905,8.29,6029
SS,s1.0,1.0,1024,100,100,99,99.0,99.0,99.0,0.87,3.70,35132617,7.65,6536
SS,s1.2,1.2,1024,100,100,100,100.0,100.0,100.0,0.28,1.38,42190420,7.70,6496
SS,s1.5,1.5,1024,100,100,100,100.0,100.0,100.0,0.06,0.32,44250837,7.35,6803
SS,wiki,NaN,1024,100,100,95,95.0,95.0,95.0,9.71,35.49,44367267,81.48,119805
Concise,s0.6,0.6,1024,100,100,81,81.0,81.0,81.0,14.74,44.08,13289464,22.78,2195
Concise,s0.8,0.8,1024,100,100,88,88.0,88.0,88.0,11.96,53.49,23183905,13.94,3588
Concise,s1.0,1.0,1024,100,100,92,92.0,92.0,92.0,10.57,46.38,35132617,15.30,3268
Concise,s1.2,1.2,1024,100,100,94,94.0,94.0,94.0,11.64,44.80,42190420,17.32,2887
Concise,s1.5,1.5,1024,100,100,91,91.0,91.0,91.0,13.50,82.23,44250837,18.14,2756
Concise,wiki,NaN,1024,100,100,81,81.0,81.0,81.0,21.52,137.62,44367267,43.96,222035
Reservoir,s0.6,0.6,1024,100,100,81,81.0,81.0,81.0,14.04,58.11,13289464,17.17,2913
Reservoir,s0.8,0.8,1024,100,100,93,93.0,93.0,93.0,8.30,43.93,23183905,12.95,3862
Reservoir,s1.0,1.0,1024,100,100,96,96.0,96.0,96.0,7.94,28.99,35132617,15.60,3206
Reservoir,s1.2,1.2,1024,100,100,96,96.0,96.0,96.0,6.81,24.64,42190420,17.02,2938
Reservoir,s1.5,1.5,1024,100,100,95,95.0,95.0,95.0,10.43,50.74,44250837,17.55,2849
Reservoir,wiki,NaN,1024,100,100,86,86.0,86.0,86.0,14.83,62.95,44367267,47.26,206549
AMS,s0.6,0.6,1024,100,100,93,93.0,93.0,93.0,7.61,43.00,13289464,127.99,391
AMS,s0.8,0.8,1024,100,100,88,88.0,88.0,88.0,9.71,45.62,23183905,102.06,490
AMS,s1.0,1.0,1024,100,100,81,81.0,81.0,81.0,23.32,137.96,35132617,104.97,476
AMS,s1.2,1.2,1024,100,100,52,52.0,52.0,52.0,23.06,176.05,42190420,102.22,489
AMS,s1.5,1.5,1024,100,100,31,31.0,31.0,31.0,59.32,508.92,44250837,110.16,454
AMS,wiki,NaN,1024,100,100,21,21.0,21.0,21.0,76.33,499.48,44367267,21601.95,452
